A

""                           "\\sigma"    "\$Cov(Y,.)\$"   "\\sigma"    "\$Cov(Y,.)\$"
 "\$Y\$"                     1.0414       1.0              0.139246     1.0
 "\$n\$"                     0.560779     0.906436         0.675283     0.5452
 "\$jc^p\$"                  2.22187      0.414612         4.99517     -0.917637
 "\$jc^f\$"                  2.20538      0.498801         7.12433     -0.95678
 "\$\\frac{\\mu^f}{\\mu}\$"  1.44248      0.0619874        1.39442     -0.0766029
 "\$\\frac{n^f}{n}\$"        1.97887      0.833478         0.520327    -0.283385
 "\$jd^p\$"                  3.38565     -0.82698          0.547294    -0.933684
 "\$jd^f\$"                  1.64396     -0.0691117        0.97523     -0.262406
 "\$v\$"                     6.7425       0.588675         4.78112      0.948512
 
 mu
 
 ""                           "\\sigma"    "\$Cov(Y,.)\$"   "\\sigma"    "\$Cov(Y,.)\$"
 "\$Y\$"                     1.0414       1.0              0.00609627   1.0
 "\$n\$"                     0.560779     0.906436         0.0382199   -0.662833
 "\$jc^p\$"                  2.22187      0.414612         0.0857202    0.682915
 "\$jc^f\$"                  2.20538      0.498801         0.436472     0.621702
 "\$\\frac{\\mu^f}{\\mu}\$"  1.44248      0.0619874        0.362511     0.516972
 "\$\\frac{n^f}{n}\$"        1.97887      0.833478         0.0770804    0.882196
 "\$jd^p\$"                  3.38565     -0.82698          0.0283179   -0.712008
 "\$jd^f\$"                  1.64396     -0.0691117        0.189484     0.818627
 "\$v\$"                     6.7425       0.588675         0.00264769  -0.49512
 
 m
 ""                           "\\sigma"    "\$Cov(Y,.)\$"   "\\sigma"    "\$Cov(Y,.)\$"
 "\$Y\$"                     1.0414       1.0              0.0395361    1.0
 "\$n\$"                     0.560779     0.906436         0.266383    -0.721848
 "\$jc^p\$"                  2.22187      0.414612         1.31615      0.843429
 "\$jc^f\$"                  2.20538      0.498801         3.54323      0.706518
 "\$\\frac{\\mu^f}{\\mu}\$"  1.44248      0.0619874        1.93242      0.554751
 "\$\\frac{n^f}{n}\$"        1.97887      0.833478         0.446251     0.825579
 "\$jd^p\$"                  3.38565     -0.82698          0.165368    -0.27733
 "\$jd^f\$"                  1.64396     -0.0691117        0.937865     0.706342
 "\$v\$"                     6.7425       0.588675         0.0426915   -0.852028
 
 g
 
  ""                           "\\sigma"    "\$Cov(Y,.)\$"   "\\sigma"    "\$Cov(Y,.)\$"
 "\$Y\$"                     1.0414       1.0              0.024049     1.0
 "\$n\$"                     0.560779     0.906436         0.331761     0.377625
 "\$jc^p\$"                  2.22187      0.414612         6.62839     -0.305742
 "\$jc^f\$"                  2.20538      0.498801         4.39212      0.00486145
 "\$\\frac{\\mu^f}{\\mu}\$"  1.44248      0.0619874        4.85189      0.517868
 "\$\\frac{n^f}{n}\$"        1.97887      0.833478         0.474501     0.864582
 "\$jd^p\$"                  3.38565     -0.82698          0.38865     -0.704923
 "\$jd^f\$"                  1.64396     -0.0691117        2.21207      0.709859
 "\$v\$"                     6.7425       0.588675         0.28477      0.333505

 b
 
  ""                           "\\sigma"    "\$Cov(Y,.)\$"   "\\sigma"    "\$Cov(Y,.)\$"
 "\$Y\$"                     1.0414       1.0              0.0282763    1.0
 "\$n\$"                     0.560779     0.906436         0.28972      0.434263
 "\$jc^p\$"                  2.22187      0.414612         3.79475     -0.186058
 "\$jc^f\$"                  2.20538      0.498801         5.0056       0.0862875
 "\$\\frac{\\mu^f}{\\mu}\$"  1.44248      0.0619874        2.20201      0.589324
 "\$\\frac{n^f}{n}\$"        1.97887      0.833478         0.348337     0.298297
 "\$jd^p\$"                  3.38565     -0.82698          0.243788    -0.31735
 "\$jd^f\$"                  1.64396     -0.0691117        1.15939      0.539782
 "\$v\$"                     6.7425       0.588675         0.140618     0.213824
 
 i
 ""                           "\\sigma"    "\$Cov(Y,.)\$"   "\\sigma"    "\$Cov(Y,.)\$"
 "\$Y\$"                     1.0414       1.0              0.0519823    1.0
 "\$n\$"                     0.560779     0.906436         0.489598     0.440348
 "\$jc^p\$"                  2.22187      0.414612         5.099       -0.145919
 "\$jc^f\$"                  2.20538      0.498801         8.90468      0.124447
 "\$\\frac{\\mu^f}{\\mu}\$"  1.44248      0.0619874        3.83497      0.524916
 "\$\\frac{n^f}{n}\$"        1.97887      0.833478         0.586692     0.115837
 "\$jd^p\$"                  3.38565     -0.82698          0.330932    -0.16173
 "\$jd^f\$"                  1.64396     -0.0691117        1.4638       0.442899
 "\$v\$"                     6.7425       0.588675         0.177308     0.171438
