With g : all shocks

Short sample

10×5 Array{Any,2}:
 ""                           "\\sigma"    "\$Cov(Y,.)\$"   "\\sigma"    "\$Cov(Y,.)\$"
 "\$Y\$"                     1.0414       1.0              0.107961     1.0
 "\$n\$"                     0.560779     0.906436         0.12081      0.867818
 "\$jc^p\$"                  2.22187      0.414612         1.23478      0.438854
 "\$jc^f\$"                  2.20538      0.498801         0.751987     0.350527
 "\$\\frac{\\mu^f}{\\mu}\$"  0.552311    -0.685178         0.26573     -0.269741
 "\$\\frac{n^f}{n}\$"        1.97887      0.833478         0.33356      0.179661
 "\$jd^p\$"                  3.38565     -0.82698          1.93756     -0.573598
 "\$jd^f\$"                  1.64396     -0.0691117        0.364134    -0.0971906
 "\$v\$"                     6.7425       0.588675         1.00938      0.452861

Habits : all shocks

 ""                           "\\sigma"    "\$Cov(Y,.)\$"   "\\sigma"    "\$Cov(Y,.)\$"
 "\$Y\$"                     1.0414       1.0              0.24367      1.0
 "\$n\$"                     0.560779     0.906436         0.298211     0.843228
 "\$jc^p\$"                  2.22187      0.414612         3.60335      0.345635
 "\$jc^f\$"                  2.20538      0.498801         1.29101      0.150274
 "\$\\frac{\\mu^f}{\\mu}\$"  0.552311    -0.685178         0.874821    -0.354909
 "\$\\frac{n^f}{n}\$"        1.97887      0.833478         0.538898    -0.232711
 "\$jd^p\$"                  3.38565     -0.82698          4.35876     -0.465062
 "\$jd^f\$"                  1.64396     -0.0691117        0.605556    -0.310414
 "\$v\$"                     6.7425       0.588675         2.21688      0.318714
 
 Short Sample
 
  ""                           "\\sigma"    "\$Cov(Y,.)\$"   "\\sigma"    "\$Cov(Y,.)\$"
 "\$Y\$"                     1.0414       1.0              0.100831     1.0
 "\$n\$"                     0.560779     0.906436         0.116142     0.835497
 "\$jc^p\$"                  2.22187      0.414612         1.23301      0.417263
 "\$jc^f\$"                  2.20538      0.498801         0.655902     0.472999
 "\$\\frac{\\mu^f}{\\mu}\$"  0.552311    -0.685178         0.235094    -0.215897
 "\$\\frac{n^f}{n}\$"        1.97887      0.833478         0.242376     0.431886
 "\$jd^p\$"                  3.38565     -0.82698          1.88052     -0.60827
 "\$jd^f\$"                  1.64396     -0.0691117        0.275204     0.0722517
 "\$v\$"                     6.7425       0.588675         0.970756     0.501864
 
 Capital and Habits : all shocks
 
  ""                           "\\sigma"    "\$Cov(Y,.)\$"   "\\sigma"    "\$Cov(Y,.)\$"
 "\$Y\$"                     1.0414       1.0              0.194721     1.0
 "\$n\$"                     0.560779     0.906436         0.167851     0.682668
 "\$jc^p\$"                  2.22187      0.414612         2.42781      0.354335
 "\$jc^f\$"                  2.20538      0.498801         0.704554     0.48734
 "\$\\frac{\\mu^f}{\\mu}\$"  1.44248      0.0619874        1.60053      0.636354
 "\$\\frac{n^f}{n}\$"        1.97887      0.833478         0.118591    -0.446954
 "\$jd^p\$"                  3.38565     -0.82698          2.45153     -0.606926
 "\$jd^f\$"                  1.64396     -0.0691117        0.397218     0.0121706
 "\$v\$"                     6.7425       0.588675         1.24158      0.491874
 
 Short Sample
 
 ""                           "\\sigma"    "\$Cov(Y,.)\$"   "\\sigma"    "\$Cov(Y,.)\$"
 "\$Y\$"                     1.0414       1.0              0.141572     1.0
 "\$n\$"                     0.560779     0.906436         0.390392     0.62894
 "\$jc^p\$"                  2.22187      0.414612         2.39336     -0.756414
 "\$jc^f\$"                  2.20538      0.498801         3.71285     -0.529869
 "\$\\frac{\\mu^f}{\\mu}\$"  0.552311    -0.685178         2.07292     -0.056934
 "\$\\frac{n^f}{n}\$"        1.97887      0.833478         1.15939      0.22909
 "\$jd^p\$"                  3.38565     -0.82698          0.314427    -0.497619
 "\$jd^f\$"                  1.64396     -0.0691117        1.22288     -0.129992
 "\$v\$"                     6.7425       0.588675         2.27578      0.58725
 
 Capital only
 
 Short Sample
 
  ""                           "\\sigma"    "\$Cov(Y,.)\$"   "\\sigma"    "\$Cov(Y,.)\$"
 "\$Y\$"                     1.0414       1.0              0.636528     1.0
 "\$n\$"                     0.560779     0.906436         0.696776     0.358377
 "\$jc^p\$"                  2.22187      0.414612         2.26159     -0.323332
 "\$jc^f\$"                  2.20538      0.498801         3.88745     -0.304756
 "\$\\frac{\\mu^f}{\\mu}\$"  0.552311    -0.685178         2.08162     -0.189311
 "\$\\frac{n^f}{n}\$"        1.97887      0.833478         2.88929     -0.272787
 "\$jd^p\$"                  3.38565     -0.82698          0.551909     0.211906
 "\$jd^f\$"                  1.64396     -0.0691117        2.9211      -0.298618
 "\$v\$"                     6.7425       0.588675         2.15277     -0.0834813
