Data Source in SDW: https://sdw.ecb.europa.eu/browseExplanation.do?node=qview&SERIES_KEY=320.MNA.Q.Y.I8.W2.S1.S1.B.B1GQ._Z._Z._Z.IX.D.N
,MNA.Q.Y.I8.W2.S1.S1.B.B1GQ._Z._Z._Z.IX.D.N
,"Gross domestic product at market prices - Euro area 19 (fixed composition) - Domestic (home or reference area), Total economy, Index, Deflator (index), Non transformed data, Calendar and seasonally adjusted data"
Collection:,Average of observations through period (A)
Period\Unit:,
2018Q3,109.76
2018Q2,109.37
2018Q1,108.91
2017Q4,108.52
2017Q3,108.25
2017Q2,107.91
2017Q1,107.38
2016Q4,107.15
2016Q3,106.89
2016Q2,106.73
2016Q1,106.63
2015Q4,106.50
2015Q3,106.15
2015Q2,105.77
2015Q1,105.49
2014Q4,104.94
2014Q3,104.54
2014Q2,104.30
2014Q1,104.24
2013Q4,103.89
2013Q3,103.65
2013Q2,103.51
2013Q1,103.20
2012Q4,102.80
2012Q3,102.46
2012Q2,102.11
2012Q1,101.84
2011Q4,101.52
2011Q3,101.13
2011Q2,100.82
2011Q1,100.54
2010Q4,100.40
2010Q3,100.19
2010Q2,99.84
2010Q1,99.57
2009Q4,99.58
2009Q3,99.34
2009Q2,99.22
2009Q1,99.24
2008Q4,98.98
2008Q3,98.54
2008Q2,98.32
2008Q1,97.73
2007Q4,97.32
2007Q3,96.62
2007Q2,96.07
2007Q1,95.66
2006Q4,94.82
2006Q3,94.36
2006Q2,93.91
2006Q1,93.34
2005Q4,93.09
2005Q3,92.41
2005Q2,92.05
2005Q1,91.63
2004Q4,91.24
2004Q3,90.75
2004Q2,90.36
2004Q1,89.87
2003Q4,89.43
2003Q3,89.29
2003Q2,88.57
2003Q1,88.13
2002Q4,87.65
2002Q3,87.18
2002Q2,86.60
2002Q1,86.32
2001Q4,85.65
2001Q3,85.09
2001Q2,84.58
2001Q1,84.05
2000Q4,83.33
2000Q3,83.07
2000Q2,82.57
2000Q1,82.29
1999Q4,81.99
1999Q3,81.76
1999Q2,81.55
1999Q1,81.33
1998Q4,81.21
1998Q3,80.49
1998Q2,80.11
1998Q1,79.63
1997Q4,79.76
1997Q3,79.40
1997Q2,79.43
1997Q1,79.49
1996Q4,79.82
1996Q3,80.02
1996Q2,79.68
1996Q1,79.22
1995Q4,78.75
1995Q3,78.20
1995Q2,77.15
1995Q1,76.59
