Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=143.FM.M.U2.EUR.4F.MM.EONIA.HSTA&start=&end=&submitOptions.x=0&submitOptions.y=0&trans=QF
,FM.M.U2.EUR.4F.MM.EONIA.HSTA,Quarterly Frequency
,"Euro area (changing composition) - Money Market - Eonia rate - Historical close, average of observations through period - Euro, provided by ECB",
Collection:,Average of observations through period (A),
Period\Unit:,[Percent per annum ],
2019Jan,-0.3670,-0.3670
2018Dec,-0.3605,-0.3626
2018Nov,-0.3613,
2018Oct,-0.3660,
2018Sep,-0.3627,-0.3618
2018Aug,-0.3591,
2018Jul,-0.3636,
2018Jun,-0.3618,-0.3633
2018May,-0.3625,
2018Apr,-0.3657,
2018Mar,-0.3639,-0.3637
2018Feb,-0.3647,
2018Jan,-0.3624,
2017Dec,-0.3423,-0.3501
2017Nov,-0.3492,
2017Oct,-0.3590,
2017Sep,-0.3581,-0.3578
2017Aug,-0.3558,
2017Jul,-0.3595,
2017Jun,-0.3587,-0.3581
2017May,-0.3589,
2017Apr,-0.3569,
2017Mar,-0.3535,-0.3526
2017Feb,-0.3528,
2017Jan,-0.3515,
2016Dec,-0.3504,-0.3486
2016Nov,-0.3487,
2016Oct,-0.3466,
2016Sep,-0.3430,-0.3369
2016Aug,-0.3388,
2016Jul,-0.3288,
2016Jun,-0.3325,-0.3361
2016May,-0.3380,
2016Apr,-0.3378,
2016Mar,-0.2877,-0.2556
2016Feb,-0.2404,
2016Jan,-0.2387,
2015Dec,-0.1990,-0.1575
2015Nov,-0.1347,
2015Oct,-0.1389,
2015Sep,-0.1357,-0.1249
2015Aug,-0.1213,
2015Jul,-0.1177,
2015Jun,-0.1185,-0.0996
2015May,-0.1058,
2015Apr,-0.0745,
2015Mar,-0.0504,-0.0457
2015Feb,-0.0360,
2015Jan,-0.0506,
2014Dec,-0.0301,-0.0154
2014Nov,-0.0116,
2014Oct,-0.0045,
2014Sep,0.0066,0.0226
2014Aug,0.0179,
2014Jul,0.0433,
2014Jun,0.0758,0.1926
2014May,0.2480,
2014Apr,0.2539,
2014Mar,0.1919,0.1815
2014Feb,0.1567,
2014Jan,0.1961,
2013Dec,0.1686,0.1217
2013Nov,0.1031,
2013Oct,0.0933,
2013Sep,0.0803,0.0852
2013Aug,0.0820,
2013Jul,0.0931,
2013Jun,0.0862,0.0820
2013May,0.0787,
2013Apr,0.0810,
2013Mar,0.0670,0.0679
2013Feb,0.0677,
2013Jan,0.0690,
2012Dec,0.0734,0.0809
2012Nov,0.0785,
2012Oct,0.0907,
2012Sep,0.0993,0.1312
2012Aug,0.1101,
2012Jul,0.1842,
2012Jun,0.3320,0.3381
2012May,0.3370,
2012Apr,0.3451,
2012Mar,0.3567,0.3675
2012Feb,0.3656,
2012Jan,0.3800,
2011Dec,0.6270,0.7922
2011Nov,0.7900,
2011Oct,0.9596,
2011Sep,1.0055,0.9743
2011Aug,0.9058,
2011Jul,1.0118,
2011Jun,1.1240,1.0412
2011May,1.0334,
2011Apr,0.9661,
2011Mar,0.6587,0.6749
2011Feb,0.7071,
2011Jan,0.6590,
2010Dec,0.4981,0.5974
2010Nov,0.5926,
2010Oct,0.7013,
2010Sep,0.4536,0.4534
2010Aug,0.4256,
2010Jul,0.4811,
2010Jun,0.3543,0.3505
2010May,0.3439,
2010Apr,0.3533,
2010Mar,0.3477,0.3441
2010Feb,0.3406,
2010Jan,0.3440,
2009Dec,0.3546,0.3586
2009Nov,0.3624,
2009Oct,0.3587,
2009Sep,0.3632,0.3561
2009Aug,0.3475,
