Data Source in SDW: https://sdw.ecb.europa.eu/browseExplanation.do?node=qview&SERIES_KEY=390.ENA.Q.Y.I8.W2.S1.S1._Z.EMP._Z._T._Z.PS._Z.N
,ENA.Q.Y.I8.W2.S1.S1._Z.EMP._Z._T._Z.PS._Z.N
,"Total employment - Euro area 19 (fixed composition) - Domestic (home or reference area), Total economy, Total - All activities, Persons, Not applicable, Non transformed data, Calendar and seasonally adjusted data"
Collection:,Average of observations through period (A)
Period\Unit:,[Thousands]
2018Q3,158313.06
2018Q2,158001.63
2018Q1,157391.77
2017Q4,156755.68
2017Q3,156282.75
2017Q2,155640.57
2017Q1,155040.31
2016Q4,154291.16
2016Q3,153725.59
2016Q2,153220.13
2016Q1,152644.59
2015Q4,152199.90
2015Q3,151662.05
2015Q2,151090.02
2015Q1,150550.61
2014Q4,150319.44
2014Q3,150055.86
2014Q2,149666.10
2014Q1,149234.35
2013Q4,148988.99
2013Q3,148846.89
2013Q2,148743.32
2013Q1,148911.27
2012Q4,149301.59
2012Q3,149692.10
2012Q2,149989.12
2012Q1,150164.17
2011Q4,150218.94
2011Q3,150382.13
2011Q2,150627.94
2011Q1,150508.67
2010Q4,150461.92
2010Q3,150180.28
2010Q2,150131.52
2010Q1,150248.46
2009Q4,150290.34
2009Q3,150631.59
2009Q2,151223.27
2009Q1,152298.53
2008Q4,153436.46
2008Q3,154077.40
2008Q2,154284.12
2008Q1,154317.98
2007Q4,153648.21
2007Q3,153088.58
2007Q2,152485.94
2007Q1,151763.13
2006Q4,150937.41
2006Q3,150244.81
2006Q2,149650.43
2006Q1,148789.33
2005Q4,148109.88
2005Q3,147467.61
2005Q2,147036.26
2005Q1,146614.67
2004Q4,146340.67
2004Q3,145956.42
2004Q2,145606.97
2004Q1,145264.17
2003Q4,145072.54
2003Q3,144750.95
2003Q2,144539.12
2003Q1,144297.48
2002Q4,144209.24
2002Q3,144174.85
2002Q2,143984.18
2002Q1,143795.82
2001Q4,143294.24
2001Q3,143047.05
2001Q2,142778.33
2001Q1,142608.64
2000Q4,142213.95
2000Q3,141607.51
2000Q2,140922.88
2000Q1,140134.00
1999Q4,139067.32
1999Q3,138421.34
1999Q2,137662.58
1999Q1,137087.03
1998Q4,136432.84
1998Q3,135872.03
1998Q2,135084.65
1998Q1,134398.72
1997Q4,133600.78
1997Q3,133215.12
1997Q2,132761.81
1997Q1,132407.44
1996Q4,132086.14
1996Q3,131909.94
1996Q2,131570.78
1996Q1,131256.85
1995Q4,131212.58
1995Q3,130960.89
1995Q2,130786.09
1995Q1,130566.03
