Data Source in SDW: https://sdw.ecb.europa.eu/browseTable.do?node=qview&SERIES_KEY=320.MNA.Q.Y.I8.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N
,MNA.Q.Y.I8.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N
,"Gross domestic product at market prices - Euro area 19 (fixed composition) - Domestic (home or reference area), Total economy, Euro, Chain linked volume (rebased), Non transformed data, Calendar and seasonally adjusted data"
Collection:,Summed through period (S)
Period\Unit:,[Millions]
2018Q4,2652004.26
2018Q3,2646085.89
2018Q2,2641904.53
2018Q1,2630755.70
2017Q4,2620986.74
2017Q3,2603781.02
2017Q2,2586210.93
2017Q1,2569133.88
2016Q4,2552085.47
2016Q3,2533076.00
2016Q2,2524152.98
2016Q1,2517336.17
2015Q4,2499737.24
2015Q3,2488182.06
2015Q2,2478697.68
2015Q1,2468543.68
2014Q4,2450727.58
2014Q3,2438898.30
2014Q2,2428946.34
2014Q1,2424285.90
2013Q4,2413032.43
2013Q3,2407354.71
2013Q2,2398940.33
2013Q1,2386815.27
2012Q4,2395294.35
2012Q3,2405395.26
2012Q2,2408637.45
2012Q1,2416967.10
2011Q4,2420807.78
2011Q3,2427816.99
2011Q2,2427728.47
2011Q1,2427299.38
2010Q4,2407820.21
2010Q3,2393088.32
2010Q2,2381942.05
2010Q1,2360063.17
2009Q4,2350566.98
2009Q3,2337830.63
2009Q2,2330201.53
2009Q1,2335949.74
2008Q4,2407584.95
2008Q3,2449279.98
2008Q2,2463239.77
2008Q1,2472310.36
2007Q4,2458832.19
2007Q3,2446118.43
2007Q2,2434352.89
2007Q1,2418732.87
2006Q4,2400667.56
2006Q3,2374179.95
2006Q2,2358795.11
2006Q1,2334024.32
2005Q4,2313186.78
2005Q3,2299209.08
2005Q2,2282512.85
2005Q1,2266818.76
2004Q4,2263216.40
2004Q3,2254580.45
2004Q2,2247833.08
2004Q1,2235879.88
2003Q4,2223052.55
2003Q3,2206186.31
2003Q2,2195110.85
2003Q1,2194012.96
2002Q4,2199511.33
2002Q3,2195999.93
2002Q2,2187373.36
2002Q1,2176503.68
2001Q4,2173743.21
2001Q3,2169196.32
2001Q2,2167547.69
2001Q1,2164000.41
2000Q4,2146364.79
2000Q3,2128989.61
2000Q2,2117949.43
2000Q1,2098707.56
1999Q4,2075678.50
1999Q3,2049428.07
1999Q2,2027197.02
1999Q1,2013566.34
1998Q4,1996444.03
1998Q3,1990983.40
1998Q2,1979786.05
1998Q1,1971493.67
1997Q4,1959477.84
1997Q3,1938206.37
1997Q2,1923531.97
1997Q1,1899003.91
1996Q4,1894834.99
1996Q3,1886837.08
1996Q2,1874742.58
1996Q1,1861470.06
1995Q4,1859117.32
1995Q3,1853757.70
1995Q2,1848365.99
1995Q1,1837362.20
