Data Source in SDW: https://sdw.ecb.europa.eu/browseExplanation.do?node=qview&SERIES_KEY=320.MNA.Q.N.I8.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.V.N
,MNA.Q.N.I8.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.V.N
,"Gross domestic product at market prices - Euro area 19 (fixed composition) - Domestic (home or reference area), Total economy, Euro, Current prices, Non transformed data, Neither seasonally adjusted nor calendar adjusted data"
Collection:,Summed through period (S)
Period\Unit:,[Millions]
2018Q3,2886119.73
2018Q2,2896549.20
2018Q1,2810306.59
2017Q4,2897255.31
2017Q3,2800133.65
2017Q2,2794261.35
2017Q1,2714306.16
2016Q4,2792223.74
2016Q3,2696404.53
2016Q2,2714228.61
2016Q1,2624793.50
2015Q4,2728603.81
2015Q3,2634496.58
2015Q2,2623968.34
2015Q1,2547264.17
2014Q4,2628403.37
2014Q3,2542013.83
2014Q2,2533569.68
2014Q1,2471188.92
2013Q4,2563814.20
2013Q3,2488103.40
2013Q2,2486643.18
2013Q1,2405472.52
2012Q4,2520952.50
2012Q3,2448309.49
2012Q2,2460661.91
2012Q1,2416841.82
2011Q4,2517763.85
2011Q3,2441314.13
2011Q2,2458937.71
2011Q1,2387583.48
2010Q4,2487394.17
2010Q3,2382526.30
2010Q2,2387307.16
2010Q1,2294976.86
2009Q4,2413519.18
2009Q3,2307292.76
2009Q2,2316464.77
2009Q1,2258942.59
2008Q4,2449982.95
2008Q3,2394838.68
2008Q2,2440704.02
2008Q1,2355124.77
2007Q4,2458033.43
2007Q3,2331270.63
2007Q2,2347135.16
2007Q1,2268205.36
2006Q4,2338996.93
2006Q3,2207132.81
2006Q2,2223267.25
2006Q1,2136616.69
2005Q4,2216344.05
2005Q3,2097645.21
2005Q2,2121879.50
2005Q1,2024882.43
2004Q4,2135351.08
2004Q3,2022706.73
2004Q2,2041121.78
2004Q1,1965093.34
2003Q4,2050775.79
2003Q3,1947433.12
2003Q2,1944765.12
2003Q1,1887528.14
2002Q4,1987537.81
2002Q3,1892896.59
2002Q2,1901211.11
2002Q1,1830208.92
2001Q4,1922883.34
2001Q3,1818143.95
2001Q2,1835805.68
2001Q1,1779301.00
2000Q4,1844269.31
2000Q3,1742310.52
2000Q2,1750693.74
2000Q1,1693047.65
1999Q4,1765588.15
1999Q3,1658190.86
1999Q2,1658409.10
1999Q1,1594546.38
1998Q4,1681317.32
1998Q3,1585670.56
1998Q2,1587171.06
1998Q1,1527869.24
1997Q4,1616906.25
1997Q3,1521751.63
1997Q2,1535377.25
1997Q1,1461585.31
1996Q4,1562350.92
1996Q3,1492975.86
1996Q2,1494053.76
1996Q1,1440843.39
1995Q4,1510269.94
1995Q3,1429686.83
1995Q2,1427331.11
1995Q1,1377405.98
