Data Source in SDW: https://sdw.ecb.europa.eu/browseExplanation.do?node=qview&SERIES_KEY=320.MNA.Q.N.I8.W2.S1.S1.B.B1GQ._Z._Z._Z.IX.D.N
,MNA.Q.N.I8.W2.S1.S1.B.B1GQ._Z._Z._Z.IX.D.N
,"Gross domestic product at market prices - Euro area 19 (fixed composition) - Domestic (home or reference area), Total economy, Index, Deflator (index), Non transformed data, Neither seasonally adjusted nor calendar adjusted data"
Collection:,Average of observations through period (A)
Period\Unit:,
2018Q3,109.34
2018Q2,109.17
2018Q1,108.49
2017Q4,109.52
2017Q3,107.83
2017Q2,107.76
2017Q1,106.97
2016Q4,108.18
2016Q3,106.44
2016Q2,106.61
2016Q1,106.19
2015Q4,107.53
2015Q3,105.70
2015Q2,105.63
2015Q1,105.07
2014Q4,105.95
2014Q3,104.11
2014Q2,104.12
2014Q1,103.86
2013Q4,104.94
2013Q3,103.22
2013Q2,103.27
2013Q1,102.83
2012Q4,103.84
2012Q3,101.99
2012Q2,101.93
2012Q1,101.47
2011Q4,102.59
2011Q3,100.63
2011Q2,100.70
2011Q1,100.11
2010Q4,101.47
2010Q3,99.67
2010Q2,99.72
2010Q1,99.14
2009Q4,100.70
2009Q3,98.85
2009Q2,99.17
2009Q1,98.66
2008Q4,100.09
2008Q3,98.10
2008Q2,98.26
2008Q1,97.14
2007Q4,98.31
2007Q3,96.11
2007Q2,96.03
2007Q1,95.21
2006Q4,95.84
2006Q3,93.86
2006Q2,93.89
2006Q1,92.83
2005Q4,94.02
2005Q3,91.93
2005Q2,91.98
2005Q1,91.23
2004Q4,92.17
2004Q3,90.35
2004Q2,90.29
2004Q1,89.40
2003Q4,90.32
2003Q3,88.93
2003Q2,88.41
2003Q1,87.75
2002Q4,88.47
2002Q3,86.82
2002Q2,86.54
2002Q1,85.90
2001Q4,86.48
2001Q3,84.72
2001Q2,84.53
2001Q1,83.64
2000Q4,84.16
2000Q3,82.68
2000Q2,82.48
2000Q1,81.93
1999Q4,82.81
1999Q3,81.39
1999Q2,81.44
1999Q1,80.97
1998Q4,82.08
1998Q3,80.06
1998Q2,79.99
1998Q1,79.26
1997Q4,80.65
1997Q3,79.00
1997Q2,79.32
1997Q1,79.10
1996Q4,80.70
1996Q3,79.62
1996Q2,79.61
1996Q1,78.81
1995Q4,79.49
1995Q3,77.88
1995Q2,77.14
1995Q1,76.15
