Data Source in SDW: https://sdw.ecb.europa.eu/browseTable.do?node=qview&SERIES_KEY=132.STS.M.I8.S.UNEH.RTT000.4.000&start=&end=&submitOptions.x=0&submitOptions.y=0&trans=QF&q=&type=
,STS.M.I8.S.UNEH.RTT000.4.000,Quarterly Frequency
,"Euro area 19 (fixed composition) - Standardised unemployment, Rate, Total (all ages), Total (male and female); unspecified; Eurostat; Seasonally adjusted, not working day adjusted,  percentage of civilian workforce",
Collection:,Average of observations through period (A),
Period\Unit:,[Percent ],
2018Dec,7.880000,7.943333
2018Nov,7.940000,
2018Oct,8.010000,
2018Sep,8.030000,8.060000
2018Aug,8.040000,
2018Jul,8.110000,
2018Jun,8.200000,8.266667
2018May,8.230000,
2018Apr,8.370000,
2018Mar,8.450000,8.540000
2018Feb,8.540000,
2018Jan,8.630000,
2017Dec,8.640000,8.703333
2017Nov,8.700000,
2017Oct,8.770000,
2017Sep,8.880000,8.976667
2017Aug,8.990000,
2017Jul,9.060000,
2017Jun,9.050000,9.146667
2017May,9.180000,
2017Apr,9.210000,
2017Mar,9.380000,9.463333
2017Feb,9.450000,
2017Jan,9.560000,
2016Dec,9.630000,9.716667
2016Nov,9.750000,
2016Oct,9.770000,
2016Sep,9.870000,9.926667
2016Aug,9.910000,
2016Jul,10.000000,
2016Jun,10.120000,10.166667
2016May,10.150000,
2016Apr,10.230000,
2016Mar,10.230000,10.303333
2016Feb,10.330000,
2016Jan,10.350000,
2015Dec,10.440000,10.503333
2015Nov,10.480000,
2015Oct,10.590000,
2015Sep,10.610000,10.690000
2015Aug,10.670000,
2015Jul,10.790000,
2015Jun,10.990000,11.050000
2015May,11.060000,
2015Apr,11.100000,
2015Mar,11.180000,11.213333
2015Feb,11.190000,
2015Jan,11.270000,
2014Dec,11.340000,11.453333
2014Nov,11.510000,
2014Oct,11.510000,
2014Sep,11.510000,11.516667
2014Aug,11.470000,
2014Jul,11.570000,
2014Jun,11.530000,11.633333
2014May,11.650000,
2014Apr,11.720000,
2014Mar,11.810000,11.870000
2014Feb,11.880000,
2014Jan,11.920000,
2013Dec,11.880000,11.920000
2013Nov,11.930000,
2013Oct,11.950000,
2013Sep,12.030000,12.033333
2013Aug,12.010000,
2013Jul,12.060000,
