Data Source in SDW: https://sdw.ecb.europa.eu/browseChart.do?node=qview&SERIES_KEY=390.ENA.Q.Y.I8.W2.S1.S1._Z.EMP._Z._T._Z.PS._Z.N
,ENA.Q.Y.I8.W2.S1.S1._Z.EMP._Z._T._Z.PS._Z.N
,"Total employment - Euro area 19 (fixed composition) - Domestic (home or reference area), Total economy, Total - All activities, Persons, Not applicable, Non transformed data, Calendar and seasonally adjusted data"
Collection:,Average of observations through period (A)
Period\Unit:,[Thousands]
2019Q3,160170.09
2019Q2,159956.33
2019Q1,159569.58
2018Q4,159014.85
2018Q3,158507.23
2018Q2,158116.07
2018Q1,157424.46
2017Q4,156816.41
2017Q3,156242.78
2017Q2,155557.90
2017Q1,154943.25
2016Q4,154246.24
2016Q3,153686.77
2016Q2,153219.63
2016Q1,152608.47
2015Q4,152215.05
2015Q3,151739.89
2015Q2,151158.83
2015Q1,150634.68
2014Q4,150406.51
2014Q3,150115.09
2014Q2,149703.36
2014Q1,149299.34
2013Q4,149072.07
2013Q3,148877.88
2013Q2,148771.97
2013Q1,148899.94
2012Q4,149242.79
2012Q3,149616.03
2012Q2,149929.15
2012Q1,150059.13
2011Q4,150119.05
2011Q3,150318.20
2011Q2,150553.65
2011Q1,150418.71
2010Q4,150418.23
2010Q3,150161.28
2010Q2,150076.49
2010Q1,150177.81
2009Q4,150280.76
2009Q3,150570.97
2009Q2,151133.39
2009Q1,152145.67
2008Q4,153393.90
2008Q3,153953.91
2008Q2,154162.93
2008Q1,154186.48
2007Q4,153536.75
2007Q3,153009.82
2007Q2,152370.71
2007Q1,151571.08
2006Q4,150869.00
2006Q3,150164.27
2006Q2,149516.73
2006Q1,148682.16
2005Q4,148070.33
2005Q3,147378.31
2005Q2,146993.14
2005Q1,146553.29
2004Q4,146349.62
2004Q3,145953.67
2004Q2,145601.31
2004Q1,145255.45
2003Q4,145073.43
2003Q3,144760.79
2003Q2,144590.64
2003Q1,144355.42
2002Q4,144273.39
2002Q3,144224.17
2002Q2,144022.12
2002Q1,143843.74
2001Q4,143398.48
2001Q3,143089.49
2001Q2,142809.27
2001Q1,142669.93
2000Q4,142330.90
2000Q3,141692.18
2000Q2,140992.24
2000Q1,140181.10
1999Q4,139184.27
1999Q3,138531.33
1999Q2,137764.83
1999Q1,137212.24
1998Q4,136589.64
1998Q3,135976.31
1998Q2,135192.49
1998Q1,134516.60
1997Q4,133758.24
1997Q3,133321.22
1997Q2,132884.72
1997Q1,132502.57
1996Q4,132199.37
1996Q3,132020.07
1996Q2,131688.98
1996Q1,131370.11
1995Q4,131346.21
1995Q3,131036.07
1995Q2,130896.76
1995Q1,130659.77
