q,y,pi,R,n
1994Q1,,,6.75,
1994Q2,,,6.13,
1994Q3,,,6.07,
1994Q4,,,5.78,
1995Q1,1949458.52,,6.1067,130659.77
1995Q2,1959919.95,0.73,6.4567,130896.76
1995Q3,1964401.29,1.36,5.9867,131036.07
1995Q4,1971105.3,0.65,5.8,131346.21
1996Q1,1973673.94,0.7,5.0133,131370.11
1996Q2,1988850.16,0.52,4.7233,131688.98
1996Q3,1999314.51,0.41,4.33,132020.07
1996Q4,2008368.48,-0.27,4.2533,132199.37
1997Q1,2012930.93,-0.37,4.2633,132502.57
1997Q2,2038771.58,-0.22,3.8767,132884.72
1997Q3,2054249.14,0.17,3.9067,133321.22
1997Q4,2076977.73,0.42,4.04,133758.24
1998Q1,2090563.59,-0.18,3.98,134516.6
1998Q2,2100095.84,0.56,3.77,135192.49
1998Q3,2112593.42,0.44,3.7867,135976.31
1998Q4,2116247.2,0.98,3.3833,136589.64
1999Q1,2136873.4,0.15,3.0601,137212.24
1999Q2,2149198.46,0.23,2.6077,137764.83
1999Q3,2173754.36,0.19,2.4658,138531.33
1999Q4,2199211.93,0.33,2.8264,139184.27
2000Q1,2226416.26,0.3,3.2763,140181.1
2000Q2,2245639.63,0.4,3.9665,140992.24
2000Q3,2258513.22,0.5,4.4394,141692.18
2000Q4,2273517.6,0.5,4.8062,142330.9
2001Q1,2296192.48,0.75,4.8433,142669.93
2001Q2,2298333.46,0.55,4.7525,142809.27
2001Q3,2301589.89,0.72,4.3278,143089.49
2001Q4,2304603.99,0.73,3.6058,143398.48
2002Q1,2305614.44,0.73,3.2802,143843.74
2002Q2,2318591.19,0.25,3.3249,144022.12
2002Q3,2328155.89,0.78,3.3043,144224.17
2002Q4,2332222.79,0.33,3.2331,144273.39
2003Q1,2323795.68,0.69,2.7665,144355.42
2003Q2,2326112.1,0.58,2.4437,144590.64
2003Q3,2339184.18,0.72,2.0658,144760.79
2003Q4,2356618.88,0.11,2.0148,145073.43
2004Q1,2368529.61,0.61,2.0195,145255.45
2004Q2,2382687.69,0.61,2.0403,145601.31
2004Q3,2388809.37,0.29,2.0533,145953.67
2004Q4,2397550.44,0.49,2.0833,146349.62
2005Q1,2402744.66,0.47,2.0641,146553.29
2005Q2,2417551.83,0.49,2.0693,146993.14
2005Q3,2435205.95,0.36,2.0759,147378.31
2005Q4,2450262.84,0.73,2.1429,148070.33
2006Q1,2472105.14,0.33,2.3986,148682.16
2006Q2,2499023.26,0.62,2.6343,149516.73
2006Q3,2513606.61,0.48,2.941,150164.27
2006Q4,2543612.54,0.54,3.369,150869
2007Q1,2559171.42,0.88,3.6079,151571.08
2007Q2,2577095.7,0.44,3.8552,152370.71
2007Q3,2588319.21,0.51,4.0464,153009.82
2007Q4,2603015.99,0.84,3.9475,153536.75
2008Q1,2614595.21,0.43,4.0469,154186.48
2008Q2,2605478.3,0.57,4.0011,154162.93
2008Q3,2591408.77,0.2,4.2543,153953.91
2008Q4,2547223.31,0.38,3.1521,153393.9
2009Q1,2466803.69,0.48,1.3771,152145.67
2009Q2,2466020.76,-0.22,0.774,151133.39
2009Q3,2475176.92,0.03,0.3561,150570.97
2009Q4,2487837.03,0.23,0.3586,150280.76
2010Q1,2496989.59,0.2,0.3441,150177.81
2010Q2,2521749.68,0.05,0.3505,150076.49
2010Q3,2532883.11,0.45,0.4534,150161.28
2010Q4,2548545.7,0.22,0.5974,150418.23
2011Q1,2570036.77,0.22,0.6749,150418.71
2011Q2,2570197.86,0.26,1.0412,150553.65
2011Q3,2572568.66,0.33,0.9743,150318.2
2011Q4,2563266.12,0.34,0.7922,150119.05
2012Q1,2557687.66,0.36,0.3675,150059.13
2012Q2,2549401.88,0.24,0.3381,149929.15
2012Q3,2546961.64,0.37,0.1312,149616.03
2012Q4,2536248.86,0.3,0.0809,149242.79
2013Q1,2526355.73,0.49,0.0679,148899.94
2013Q2,2539877.72,0.27,0.082,148771.97
2013Q3,2548042.79,0.13,0.0852,148877.88
2013Q4,2554083.66,0,0.1217,149072.07
2014Q1,2565967.71,0.58,0.1815,149299.34
2014Q2,2570675.33,0.09,0.1926,149703.36
2014Q3,2582727.65,0.19,0.0226,150115.09
2014Q4,2593863.65,0.21,-0.0154,150406.51
2015Q1,2613040.74,0.57,-0.0457,150634.68
2015Q2,2623494.16,0.42,-0.0996,151158.83
2015Q3,2635745.13,0.33,-0.1249,151739.89
2015Q4,2646975.5,0.1,-0.1575,152215.05
2016Q1,2662993.19,0.23,-0.2556,152608.47
2016Q2,2670604.81,0.19,-0.3361,153219.63
2016Q3,2682465.29,0.22,-0.3369,153686.77
2016Q4,2702754.07,0.07,-0.3486,154246.24
2017Q1,2720748.7,0.19,-0.3526,154943.25
2017Q2,2740204.68,0.53,-0.3581,155557.9
2017Q3,2761543.55,0.22,-0.3578,156242.78
2017Q4,2783155.7,0.26,-0.3501,156816.41
2018Q1,2790685.93,0.3,-0.3637,157424.46
2018Q2,2800830.87,0.38,-0.3633,158116.07
2018Q3,2806313.34,0.25,-0.3618,158507.23
2018Q4,2815782.95,0.53,-0.3626,159014.85
2019Q1,2827830.5,0.36,-0.3673,159569.58
2019Q2,2833173.03,0.51,-0.365,159956.33
2019Q3,2839304.25,,-0.3771,160170.09
