Data Source in SDW: https://sdw.ecb.europa.eu/browseTable.do?node=qview&SERIES_KEY=320.MNA.Q.Y.I8.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N&trans=N
,MNA.Q.Y.I8.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N
,"Gross domestic product at market prices - Euro area 19 (fixed composition) - Domestic (home or reference area), Total economy, Euro, Chain linked volume (rebased), Non transformed data, Calendar and seasonally adjusted data"
Collection:,Summed through period (S)
Period\Unit:,[Millions]
2019Q3,2839304.25
2019Q2,2833173.03
2019Q1,2827830.50
2018Q4,2815782.95
2018Q3,2806313.34
2018Q2,2800830.87
2018Q1,2790685.93
2017Q4,2783155.70
2017Q3,2761543.55
2017Q2,2740204.68
2017Q1,2720748.70
2016Q4,2702754.07
2016Q3,2682465.29
2016Q2,2670604.81
2016Q1,2662993.19
2015Q4,2646975.50
2015Q3,2635745.13
2015Q2,2623494.16
2015Q1,2613040.74
2014Q4,2593863.65
2014Q3,2582727.65
2014Q2,2570675.33
2014Q1,2565967.71
2013Q4,2554083.66
2013Q3,2548042.79
2013Q2,2539877.72
2013Q1,2526355.73
2012Q4,2536248.86
2012Q3,2546961.64
2012Q2,2549401.88
2012Q1,2557687.66
2011Q4,2563266.12
2011Q3,2572568.66
2011Q2,2570197.86
2011Q1,2570036.77
2010Q4,2548545.70
2010Q3,2532883.11
2010Q2,2521749.68
2010Q1,2496989.59
2009Q4,2487837.03
2009Q3,2475176.92
2009Q2,2466020.76
2009Q1,2466803.69
2008Q4,2547223.31
2008Q3,2591408.77
2008Q2,2605478.30
2008Q1,2614595.21
2007Q4,2603015.99
2007Q3,2588319.21
2007Q2,2577095.70
2007Q1,2559171.42
2006Q4,2543612.54
2006Q3,2513606.61
2006Q2,2499023.26
2006Q1,2472105.14
2005Q4,2450262.84
2005Q3,2435205.95
2005Q2,2417551.83
2005Q1,2402744.66
2004Q4,2397550.44
2004Q3,2388809.37
2004Q2,2382687.69
2004Q1,2368529.61
2003Q4,2356618.88
2003Q3,2339184.18
2003Q2,2326112.10
2003Q1,2323795.68
2002Q4,2332222.79
2002Q3,2328155.89
2002Q2,2318591.19
2002Q1,2305614.44
2001Q4,2304603.99
2001Q3,2301589.89
2001Q2,2298333.46
2001Q1,2296192.48
2000Q4,2273517.60
2000Q3,2258513.22
2000Q2,2245639.63
2000Q1,2226416.26
1999Q4,2199211.93
1999Q3,2173754.36
1999Q2,2149198.46
1999Q1,2136873.40
1998Q4,2116247.20
1998Q3,2112593.42
1998Q2,2100095.84
1998Q1,2090563.59
1997Q4,2076977.73
1997Q3,2054249.14
1997Q2,2038771.58
1997Q1,2012930.93
1996Q4,2008368.48
1996Q3,1999314.51
1996Q2,1988850.16
1996Q1,1973673.94
1995Q4,1971105.30
1995Q3,1964401.29
1995Q2,1959919.95
1995Q1,1949458.52
