Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=320.MNA.Q.Y.I8.W0.S1.S1._Z.LPR_PS._Z._T._Z.IX.LR.N
,MNA.Q.Y.I8.W0.S1.S1._Z.LPR_PS._Z._T._Z.IX.LR.N
,"Labour Productivity (per persons) - Euro area 19 (fixed composition) - World (all entities, including reference area, including IO), Total economy, Total - All activities, Index, Chain linked volume (rebased), Non transformed data, Calendar and seasonally adjusted data"
Collection:,Average of observations through period (A)
Period\Unit:,
2018Q4,105.18
2018Q3,105.27
2018Q2,105.31
2018Q1,105.27
2017Q4,105.31
2017Q3,104.93
2017Q2,104.65
2017Q1,104.36
2016Q4,104.18
2016Q3,103.78
2016Q2,103.76
2016Q1,103.87
2015Q4,103.44
2015Q3,103.33
2015Q2,103.32
2015Q1,103.27
2014Q4,102.68
2014Q3,102.36
2014Q2,102.21
2014Q1,102.31
2013Q4,102.00
2013Q3,101.86
2013Q2,101.58
2013Q1,100.95
2012Q4,101.04
2012Q3,101.20
2012Q2,101.14
2012Q1,101.37
2011Q4,101.50
2011Q3,101.68
2011Q2,101.51
2011Q1,101.57
2010Q4,100.79
2010Q3,100.36
2010Q2,99.92
2010Q1,98.93
2009Q4,98.50
2009Q3,97.75
2009Q2,97.05
2009Q1,96.60
2008Q4,98.82
2008Q3,100.12
2008Q2,100.55
2008Q1,100.90
2007Q4,100.79
2007Q3,100.63
2007Q2,100.55
2007Q1,100.38
2006Q4,100.17
2006Q3,99.52
2006Q2,99.27
2006Q1,98.80
2005Q4,98.36
2005Q3,98.20
2005Q2,97.77
2005Q1,97.38
2004Q4,97.40
2004Q3,97.29
2004Q2,97.23
2004Q1,96.94
2003Q4,96.51
2003Q3,95.99
2003Q2,95.65
2003Q1,95.76
2002Q4,96.06
2002Q3,95.93
2002Q2,95.68
2002Q1,95.33
2001Q4,95.54
2001Q3,95.51
2001Q2,95.61
2001Q1,95.57
2000Q4,95.05
2000Q3,94.69
2000Q2,94.66
2000Q1,94.32
1999Q4,94.00
1999Q3,93.25
1999Q2,92.75
1999Q1,92.51
1998Q4,92.16
1998Q3,92.29
1998Q2,92.30
1998Q1,92.39
1997Q4,92.37
1997Q3,91.63
1997Q2,91.25
1997Q1,90.33
1996Q4,90.35
1996Q3,90.09
1996Q2,89.74
1996Q1,89.32
1995Q4,89.24
1995Q3,89.15
1995Q2,89.01
1995Q1,88.63
