emp_cont,sex,age,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 
LTD,F,Y15-24,PC_EMP,AT	3 	2 	4 	4 	5 	3 	4 
LTD,F,Y15-24,PC_EMP,BG	: 	8 	: 	: 	14 	: 	: 
LTD,F,Y15-24,PC_EMP,CH	4 	3 	2 	4 	2 	3 	3 
LTD,F,Y15-24,PC_EMP,CY	6 	8 	16 	12 	9 	9 	4 
LTD,F,Y15-24,PC_EMP,CZ	2 	1 	2 	4 	4 	3 	5 
LTD,F,Y15-24,PC_EMP,DK	3 	4 	3 	4 	4 	5 	7 
LTD,F,Y15-24,PC_EMP,EL	10 	9 	10 	10 	16 	10 	11 
LTD,F,Y15-24,PC_EMP,ES	11 	13 	12 	15 	16 	17 	14 
LTD,F,Y15-24,PC_EMP,FI	6 	7 	8 	7 	6 	7 	7 
LTD,F,Y15-24,PC_EMP,FR	7 	9 	8 	9 	8 	9 	10 
LTD,F,Y15-24,PC_EMP,HR	7 	14 	9 	9 	: 	13 	: 
LTD,F,Y15-24,PC_EMP,HU	7 	3 	4 	4 	6 	7 	7 
LTD,F,Y15-24,PC_EMP,IE	2 	3 	3 	5 	5 	6 	4 
LTD,F,Y15-24,PC_EMP,IT	7 	8 	7 	7 	8 	6 	5 
LTD,F,Y15-24,PC_EMP,LV	: 	: 	: 	: 	: 	36 	: 
LTD,F,Y15-24,PC_EMP,NL	3 	3 	3 	3 	4 	3 	4 
LTD,F,Y15-24,PC_EMP,NO	3 	4 	4 	3 	4 	3 	3 
LTD,F,Y15-24,PC_EMP,PL	2 	4 	3 	4 	5 	5 	5 
LTD,F,Y15-24,PC_EMP,PT	8 	7 	9 	9 	9 	10 	10 
LTD,F,Y15-24,PC_EMP,SE	5 	4 	5 	7 	6 	7 	6 
LTD,F,Y15-24,PC_EMP,SI	6 	4 	6 	7 	6 	5 	5 
LTD,F,Y15-24,PC_EMP,SK	6 	5 	4 	5 	6 	8 	6 
LTD,F,Y15-24,PC_EMP,TR	9 	10 	9 	10 	5 	6 	5 
LTD,F,Y15-24,PC_EMP,UK	2 	3 	3 	3 	3 	4 	5 
LTD,F,Y15-74,PC_EMP,AT	5 	6 	6 	5 	6 	5 	5 
LTD,F,Y15-74,PC_EMP,BG	6 	8 	7 	9 	13 	9 	9 
LTD,F,Y15-74,PC_EMP,CH	8 	7 	6 	6 	5 	6 	6 
LTD,F,Y15-74,PC_EMP,CY	8 	8 	7 	6 	6 	4 	4 
LTD,F,Y15-74,PC_EMP,CZ	2 	2 	3 	4 	5 	6 	5 
LTD,F,Y15-74,PC_EMP,DK	5 	6 	8 	7 	11 	10 	9 
LTD,F,Y15-74,PC_EMP,EL	10 	13 	10 	12 	11 	14 	11 
LTD,F,Y15-74,PC_EMP,ES	11 	12 	13 	13 	14 	15 	13 
LTD,F,Y15-74,PC_EMP,FI	7 	8 	8 	8 	7 	8 	8 
LTD,F,Y15-74,PC_EMP,FR	8 	9 	8 	8 	9 	9 	9 
LTD,F,Y15-74,PC_EMP,HR	6 	7 	8 	8 	9 	10 	9 
LTD,F,Y15-74,PC_EMP,HU	4 	3 	4 	5 	6 	8 	8 
LTD,F,Y15-74,PC_EMP,IE	5 	4 	5 	6 	6 	6 	5 
LTD,F,Y15-74,PC_EMP,IT	7 	6 	7 	7 	6 	6 	5 
LTD,F,Y15-74,PC_EMP,LT	16 	16 	14 	28 	18 	22 	8 
LTD,F,Y15-74,PC_EMP,LV	10 	14 	12 	12 	22 	32 	15 
LTD,F,Y15-74,PC_EMP,MK	: 	7 	14 	7 	8 	10 	17 
LTD,F,Y15-74,PC_EMP,NL	3 	4 	4 	4 	4 	4 	4 
LTD,F,Y15-74,PC_EMP,NO	4 	4 	4 	4 	4 	2 	3 
LTD,F,Y15-74,PC_EMP,PL	2 	2 	2 	3 	3 	3 	3 
LTD,F,Y15-74,PC_EMP,PT	6 	7 	9 	8 	9 	11 	9 
LTD,F,Y15-74,PC_EMP,RO	: 	: 	: 	: 	: 	6 	8 
LTD,F,Y15-74,PC_EMP,SE	5 	5 	6 	6 	7 	7 	6 
LTD,F,Y15-74,PC_EMP,SI	9 	7 	8 	7 	9 	7 	9 
LTD,F,Y15-74,PC_EMP,SK	4 	3 	6 	6 	5 	7 	4 
LTD,F,Y15-74,PC_EMP,TR	9 	12 	9 	8 	6 	6 	4 
LTD,F,Y15-74,PC_EMP,UK	2 	3 	3 	2 	4 	3 	4 
LTD,F,Y25-54,PC_EMP,AT	5 	6 	6 	5 	6 	5 	5 
LTD,F,Y25-54,PC_EMP,BG	6 	8 	8 	9 	14 	9 	10 
LTD,F,Y25-54,PC_EMP,CH	9 	8 	6 	7 	5 	7 	7 
LTD,F,Y25-54,PC_EMP,CY	6 	8 	6 	4 	5 	3 	3 
LTD,F,Y25-54,PC_EMP,CZ	2 	3 	3 	5 	6 	7 	5 
LTD,F,Y25-54,PC_EMP,DK	6 	6 	9 	7 	12 	10 	10 
LTD,F,Y25-54,PC_EMP,EL	10 	13 	11 	12 	11 	14 	11 
LTD,F,Y25-54,PC_EMP,ES	11 	12 	13 	13 	14 	14 	13 
LTD,F,Y25-54,PC_EMP,FI	7 	7 	8 	7 	6 	8 	7 
LTD,F,Y25-54,PC_EMP,FR	9 	9 	9 	9 	9 	10 	9 
LTD,F,Y25-54,PC_EMP,HR	6 	7 	9 	7 	6 	9 	8 
LTD,F,Y25-54,PC_EMP,HU	4 	4 	4 	5 	6 	9 	8 
LTD,F,Y25-54,PC_EMP,IE	5 	4 	5 	6 	7 	6 	5 
LTD,F,Y25-54,PC_EMP,IT	7 	7 	7 	7 	6 	6 	5 
LTD,F,Y25-54,PC_EMP,LT	16 	18 	15 	33 	20 	26 	10 
LTD,F,Y25-54,PC_EMP,LV	10 	19 	: 	13 	28 	34 	16 
LTD,F,Y25-54,PC_EMP,MK	: 	7 	12 	6 	7 	11 	15 
LTD,F,Y25-54,PC_EMP,NL	3 	4 	4 	5 	5 	4 	4 
LTD,F,Y25-54,PC_EMP,NO	4 	5 	5 	5 	4 	2 	3 
LTD,F,Y25-54,PC_EMP,PL	2 	2 	2 	3 	3 	3 	3 
LTD,F,Y25-54,PC_EMP,PT	6 	7 	8 	8 	9 	12 	10 
LTD,F,Y25-54,PC_EMP,RO	: 	: 	: 	: 	: 	7 	8 
LTD,F,Y25-54,PC_EMP,SE	5 	5 	6 	6 	7 	7 	6 
LTD,F,Y25-54,PC_EMP,SI	9 	8 	9 	8 	9 	7 	9 
LTD,F,Y25-54,PC_EMP,SK	4 	3 	6 	6 	5 	8 	4 
LTD,F,Y25-54,PC_EMP,TR	10 	13 	10 	9 	7 	6 	4 
LTD,F,Y25-54,PC_EMP,UK	2 	2 	3 	2 	4 	3 	4 
