sex,age,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 
F,Y15-24,PC,AT	10 	8 	7 	8 	8 	8 	9 
F,Y15-24,PC,BG	3 	4 	4 	5 	4 	4 	3 
F,Y15-24,PC,CY	8 	10 	8 	9 	6 	7 	6 
F,Y15-24,PC,CZ	6 	7 	6 	5 	6 	5 	6 
F,Y15-24,PC,DK	13 	15 	12 	13 	13 	13 	12 
F,Y15-24,PC,EE	12 	13 	10 	9 	12 	6 	7 
F,Y15-24,PC,EL	3 	3 	4 	4 	2 	2 	2 
F,Y15-24,PC,ES	16 	14 	13 	12 	9 	9 	9 
F,Y15-24,PC,FI	17 	20 	17 	16 	16 	17 	17 
F,Y15-24,PC,FR	10 	11 	12 	10 	9 	13 	14 
F,Y15-24,PC,HR	9 	7 	9 	10 	: 	: 	4 
F,Y15-24,PC,HU	6 	6 	5 	5 	5 	4 	3 
F,Y15-24,PC,IE	6 	7 	8 	6 	6 	6 	5 
F,Y15-24,PC,IT	9 	8 	9 	7 	6 	8 	6 
F,Y15-24,PC,LT	7 	11 	9 	6 	4 	5 	6 
F,Y15-24,PC,LV	3 	6 	6 	6 	6 	7 	5 
F,Y15-24,PC,MT	5 	: 	5 	7 	6 	6 	7 
F,Y15-24,PC,NL	12 	12 	12 	9 	8 	9 	9 
F,Y15-24,PC,NO	7 	8 	7 	7 	9 	9 	8 
F,Y15-24,PC,PL	7 	7 	6 	7 	7 	7 	7 
F,Y15-24,PC,PT	15 	13 	12 	11 	10 	9 	9 
F,Y15-24,PC,RO	2 	: 	: 	: 	: 	: 	2 
F,Y15-24,PC,SE	21 	21 	23 	24 	24 	26 	25 
F,Y15-24,PC,SI	11 	5 	13 	4 	7 	8 	11 
F,Y15-24,PC,SK	6 	7 	6 	4 	5 	4 	4 
F,Y15-24,PC,UK	7 	7 	8 	7 	7 	7 	6 
F,Y15-74,PC,AT	3 	3 	3 	3 	3 	3 	3 
F,Y15-74,PC,BG	2 	1 	2 	2 	2 	1 	2 
F,Y15-74,PC,CY	3 	4 	3 	3 	2 	3 	2 
F,Y15-74,PC,CZ	2 	2 	2 	2 	2 	2 	2 
F,Y15-74,PC,DK	6 	7 	5 	6 	5 	5 	5 
F,Y15-74,PC,EE	4 	4 	3 	3 	4 	3 	3 
F,Y15-74,PC,EL	1 	1 	1 	1 	1 	1 	1 
F,Y15-74,PC,ES	4 	4 	3 	3 	3 	3 	3 
F,Y15-74,PC,FI	5 	5 	5 	5 	5 	5 	5 
F,Y15-74,PC,FR	3 	3 	3 	2 	2 	3 	3 
F,Y15-74,PC,HR	3 	2 	2 	2 	1 	1 	1 
F,Y15-74,PC,HU	2 	3 	2 	2 	2 	2 	1 
F,Y15-74,PC,IE	3 	2 	2 	2 	2 	2 	2 
F,Y15-74,PC,IT	2 	2 	2 	2 	2 	2 	2 
F,Y15-74,PC,LT	3 	4 	3 	2 	2 	2 	2 
F,Y15-74,PC,LV	2 	2 	3 	3 	3 	3 	3 
F,Y15-74,PC,MT	2 	2 	3 	3 	3 	3 	3 
F,Y15-74,PC,NL	4 	4 	4 	3 	3 	3 	3 
F,Y15-74,PC,NO	3 	3 	3 	3 	3 	3 	3 
F,Y15-74,PC,PL	2 	2 	2 	2 	2 	2 	2 
F,Y15-74,PC,PT	4 	3 	3 	3 	3 	2 	3 
F,Y15-74,PC,RO	1 	: 	: 	: 	: 	: 	1 
F,Y15-74,PC,SE	7 	7 	7 	7 	7 	7 	7 
F,Y15-74,PC,SI	3 	1 	2 	1 	2 	2 	2 
F,Y15-74,PC,SK	2 	2 	2 	1 	1 	1 	1 
F,Y15-74,PC,UK	3 	3 	3 	3 	3 	3 	2 
F,Y25-54,PC,AT	3 	3 	3 	2 	2 	3 	3 
F,Y25-54,PC,BG	1 	1 	2 	2 	2 	1 	2 
F,Y25-54,PC,CY	3 	3 	2 	2 	2 	2 	2 
F,Y25-54,PC,CZ	2 	2 	2 	2 	2 	2 	2 
F,Y25-54,PC,DK	6 	6 	5 	5 	5 	4 	4 
F,Y25-54,PC,EE	4 	3 	3 	3 	3 	3 	4 
F,Y25-54,PC,EL	1 	1 	1 	1 	1 	1 	1 
F,Y25-54,PC,ES	4 	3 	3 	3 	3 	3 	3 
F,Y25-54,PC,FI	5 	5 	4 	4 	4 	5 	5 
F,Y25-54,PC,FR	2 	2 	2 	2 	2 	3 	3 
