q,y,pi,R,n,nf,jcp,jcf,jc,mufsmu,jdp,jdf,jd,v
1994Q1,,,1.6875,,,,,,,,,,122733.333333333
1994Q2,,,1.5325,,,,,,,,,,130866.666666667
1994Q3,,,1.5175,,,,,,,,,,137100
1994Q4,,,1.445,,,,,,,,,,143866.666666667
1995Q1,1949458.52,,1.526675,130659.77,,,,,,,,,161133.333333333
1995Q2,1959919.95,0.73,1.614175,130896.76,,,,,,,,,166900
1995Q3,1964401.29,1.36,1.496675,131036.07,,,,,,,,,169633.333333333
1995Q4,1971105.3,0.65,1.45,131346.21,,,,,,,,,177466.666666667
1996Q1,1973673.94,0.7,1.253325,131370.11,,,,,,,,,178033.333333333
1996Q2,1988850.16,0.52,1.180825,131688.98,,,,,,,,,190266.666666667
1996Q3,1999314.51,0.41,1.0825,132020.07,,,,,,,,,190866.666666667
1996Q4,2008368.48,-0.27,1.063325,132199.37,,,,,,,,,196200
1997Q1,2012930.93,-0.37,1.065825,132502.57,,,,,,,,,196233.333333333
1997Q2,2038771.58,-0.22,0.969175,132884.72,,,,,,,,,207666.666666667
1997Q3,2054249.14,0.17,0.976675,133321.22,,,,,,,,,212800
1997Q4,2076977.73,0.42,1.01,133758.24,,,,,,,,,223600
1998Q1,2090563.59,-0.18,0.995,134516.6,,,,,,,6.357,10.24,227533.333333333
1998Q2,2100095.84,0.56,0.9425,135192.49,,,,,,,6.253,10.126,230733.333333333
1998Q3,2112593.42,0.44,0.946675,135976.31,,,,,,,6.225,10.04,226133.333333333
1998Q4,2116247.2,0.98,0.845825,136589.64,,,,,,,6.256,10.269,222833.333333333
1999Q1,2136873.4,0.15,0.765025,137212.24,,,,,,,6.391,10.555,238400
1999Q2,2149198.46,0.23,0.651925,137764.83,,,,,,,6.339,10.598,241500
1999Q3,2173754.36,0.19,0.61645,138531.33,,,,,,,6.276,10.809,250200
1999Q4,2199211.93,0.33,0.7066,139184.27,,,,,,,6.362,11.083,253800
2000Q1,2226416.26,0.3,0.819075,140181.1,,714525.188110352,1810599.04781952,2525124.23592987,0.7170336501,,6.626,11.574,266933.333333333
2000Q2,2245639.63,0.4,0.991625,140992.24,,838798.079879761,1827580.77712174,2666378.8570015,0.6854167675,,6.603,11.702,264333.333333333
2000Q3,2258513.22,0.5,1.10985,141692.18,,834117.884902954,1851202.32204132,2685320.20694427,0.6893786139,,6.552,11.732,264400
2000Q4,2273517.6,0.5,1.20155,142330.9,,897953.248733521,1842553.42908707,2740506.67782059,0.6723404267,,6.513,11.887,261166.666666667
2001Q1,2296192.48,0.75,1.210825,142669.93,,911200.403137207,1835639.98446731,2746840.38760452,0.6682732614,0.892,6.873,12.273,259733.333333333
2001Q2,2298333.46,0.55,1.188125,142809.27,,870659.269317627,1833122.32538605,2703781.59470368,0.6779846157,0.946,6.753,12.055,251566.666666667
2001Q3,2301589.89,0.72,1.08195,143089.49,,842992.477851868,1813513.57652893,2656506.0543808,0.6826687158,0.895,7.013,12.066,249866.666666667
2001Q4,2304603.99,0.73,0.90145,143398.48,,826649.427207947,1770959.16890793,2597608.59611588,0.6817652096,0.988,6.828,11.852,254700
2002Q1,2305614.44,0.73,0.82005,143843.74,,789462.213882446,1821871.75896835,2611333.9728508,0.6976785727,1.072,6.998,12.001,248233.333333333
2002Q2,2318591.19,0.25,0.831225,144022.12,,798879.553733826,1792729.73333206,2591609.28706589,0.6917438297,1.066,6.936,11.856,250766.666666667
2002Q3,2328155.89,0.78,0.826075,144224.17,,789941.012588501,1838043.56864929,2627984.58123779,0.6994118542,1.094,7.018,12.006,246066.666666667
2002Q4,2332222.79,0.33,0.808275,144273.39,,766398.855789185,1809137.79969941,2575536.6554886,0.7024313926,1.097,7.032,11.953,239766.666666667
2003Q1,2323795.68,0.69,0.691625,144355.42,0.066,758553.638717651,1818517.65024338,2577071.28896103,0.7056528308,1.188,6.844,11.649,241966.666666667
2003Q2,2326112.1,0.58,0.610925,144590.64,0.062,728839.18737793,1879684.1092659,2608523.29664383,0.7205931845,1.14,6.647,11.245,239533.333333333
2003Q3,2339184.18,0.72,0.51645,144760.79,0.064,728401.569961548,1813345.6737114,2541747.24367295,0.7134248609,1.171,6.981,11.702,245766.666666667
2003Q4,2356618.88,0.11,0.5037,145073.43,0.064,733035.801597595,1903295.41161194,2636331.21320954,0.7219485177,1.207,6.993,11.729,243166.666666667
2004Q1,2368529.61,0.61,0.504875,145255.45,0.064,730560.121925354,1968474.38569184,2699034.50761719,0.7293253866,1.139,6.974,11.725,250366.666666667
2004Q2,2382687.69,0.61,0.510075,145601.31,0.063,729560.449035645,2051268.5383812,2780828.98741684,0.7376464168,1.154,7.254,12.014,255366.666666667
2004Q3,2388809.37,0.29,0.513325,145953.67,0.063,721173.936424255,2064859.57242279,2786033.50884705,0.7411467112,1.106,7.117,11.666,252533.333333333
2004Q4,2397550.44,0.49,0.520825,146349.62,0.064,722799.265724182,2119523.79881668,2842323.06454086,0.7457012277,1.1,7.39,12.021,257133.333333333
2005Q1,2402744.66,0.47,0.516025,146553.29,0.064,752374.939567566,2181924.5260727,2934299.46564027,0.7435929944,1.108,7.242,11.842,267233.333333333
2005Q2,2417551.83,0.49,0.517325,146993.14,0.065,755949.414283752,2214328.97866135,2970278.3929451,0.7454954337,1.154,7.489,12.092,269166.666666667
2005Q3,2435205.95,0.36,0.518975,147378.31,0.066,773795.71182251,2276930.71846466,3050726.43028717,0.7463568991,1.151,7.604,12.192,279066.666666667
2005Q4,2450262.84,0.73,0.535725,148070.33,0.066,808533.461036682,2293093.62056122,3101627.0815979,0.7393195765,1.199,7.945,12.64,289600
2006Q1,2472105.14,0.33,0.59965,148682.16,0.066,817241.679359436,2264726.15516281,3081967.83452225,0.7348312107,1.158,7.468,12.064,276700
2006Q2,2499023.26,0.62,0.658575,149516.73,0.067,835162.683067322,2391287.7228569,3226450.40592422,0.7411512411,1.175,7.471,12.118,286133.333333333
2006Q3,2513606.61,0.48,0.73525,150164.27,0.066,799451.629646301,2419128.02725525,3218579.65690155,0.751613533,1.169,7.671,12.38,286966.666666667
2006Q4,2543612.54,0.54,0.84225,150869,0.065,817483.422264099,2480243.45262375,3297726.87488785,0.7521069957,1.205,8.076,13.089,290033.333333333
2007Q1,2559171.42,0.88,0.901975,151571.08,0.066,844619.162086487,2556201.55764771,3400820.7197342,0.7516425499,1.211,8.099,13.335,298433.333333333
2007Q2,2577095.7,0.44,0.9638,152370.71,0.067,872399.09021759,2594510.6162468,3466909.70646439,0.7483640579,1.238,8.188,13.357,307100
2007Q3,2588319.21,0.51,1.0116,153009.82,0.069,871633.238189697,2610511.83406067,3482145.07225037,0.7496849729,1.245,8.588,14,302133.333333333
2007Q4,2603015.99,0.84,0.986875,153536.75,0.07,867079.541374207,2684916.93761215,3551996.47898636,0.7558895268,1.227,8.612,14.09,307633.333333333
2008Q1,2614595.21,0.43,1.011725,154186.48,0.071,873955.652252197,2724142.31044388,3598097.96269608,0.7571062096,1.264,8.659,14.195,308266.666666667
2008Q2,2605478.3,0.57,1.000275,154162.93,0.068,843975.636070251,2648062.51165467,3492038.14772492,0.7583143138,1.271,8.49,14.009,300966.666666667
2008Q3,2591408.77,0.2,1.063575,153953.91,0.068,867458.640769959,2623885.71659546,3491344.35736542,0.7515402229,1.223,8.993,14.397,293800
2008Q4,2547223.31,0.38,0.788025,153393.9,0.068,778434.536849976,2616459.39655228,3394893.93340226,0.770704313,1.373,8.921,14.022,261766.666666667
2009Q1,2466803.69,0.48,0.344275,152145.67,0.065,703937.560279846,2555055.67746124,3258993.23774109,0.7840015278,1.464,9.576,14.032,223733.333333333
2009Q2,2466020.76,-0.22,0.1935,151133.39,0.064,665930.25138092,2630616.72933349,3296546.98071441,0.7979915787,1.635,9.758,14.11,236066.666666667
2009Q3,2475176.92,0.03,0.089025,150570.97,0.064,689824.957183838,2663891.31022187,3353716.26740571,0.7943102808,1.644,9.447,13.843,246666.666666667
2009Q4,2487837.03,0.23,0.08965,150280.76,0.064,709482.002113342,2746021.53846588,3455503.54057922,0.7946805744,1.622,9.808,14.404,253966.666666667
2010Q1,2496989.59,0.2,0.086025,150177.81,0.066,740472.968383789,2787574.44435578,3528047.41273957,0.7901181924,1.524,10.054,14.501,260966.666666667
2010Q2,2521749.68,0.05,0.087625,150076.49,0.068,775689.581115723,2860122.57946701,3635812.16058273,0.7866530099,1.423,10.448,14.946,267033.333333333
2010Q3,2532883.11,0.45,0.11335,150161.28,0.068,756741.762756348,2874972.18394318,3631713.94669953,0.7916295793,1.436,10.449,15.045,267433.333333333
2010Q4,2548545.7,0.22,0.14935,150418.23,0.068,784884.313224792,2913909.6815506,3698793.99477539,0.7877999385,1.44,10.827,15.669,262100
2011Q1,2570036.77,0.22,0.168725,150418.71,0.069,836167.041381836,3003348.23634415,3839515.27772599,0.7822206761,1.388,11.629,16.191,279366.666666667
2011Q2,2570197.86,0.26,0.2603,150553.65,0.067,861555.134529114,3042436.53538437,3903991.66991348,0.7793143,1.414,11.714,16.507,277500
2011Q3,2572568.66,0.33,0.243575,150318.2,0.068,860984.421485901,3076973.95726166,3937958.37874756,0.7813627421,1.41,12.27,16.861,287200
2011Q4,2563266.12,0.34,0.19805,150119.05,0.068,851293.029029846,3045324.83811035,3896617.8671402,0.7815302762,1.492,12.62,17.416,276233.333333333
2012Q1,2557687.66,0.36,0.091875,150059.13,0.068,807474.601226807,3108729.6028511,3916204.20407791,0.7938119263,1.468,12.268,16.85,261233.333333333
2012Q2,2549401.88,0.24,0.084525,149929.15,0.068,796380.662322998,3115639.64305115,3912020.30537415,0.7964272677,1.473,12.955,17.296,255933.333333333
2012Q3,2546961.64,0.37,0.0328,149616.03,0.067,776566.97530365,3149125.7052124,3925692.68051605,0.8021834518,1.5,13.514,17.74,237866.666666667
2012Q4,2536248.86,0.3,0.020225,149242.79,0.068,763679.858345032,3196170.91157989,3959850.76992492,0.8071442833,1.531,13.538,18.126,230233.333333333
2013Q1,2526355.73,0.49,0.016975,148899.94,0.067,748908.724990845,3236209.78307876,3985118.5080696,0.8120736627,1.478,14.943,19.286,222033.333333333
2013Q2,2539877.72,0.27,0.0205,148771.97,0.067,747430.994552612,3256724.49199829,4004155.4865509,0.8133361711,1.468,14.901,19.198,214200
2013Q3,2548042.79,0.13,0.0213,148877.88,0.068,759498.490158081,3318918.21189423,4078416.70205231,0.8137761426,1.528,15.239,19.603,214733.333333333
2013Q4,2554083.66,0,0.030425,149072.07,0.067,747889.51361084,3365288.86226196,4113178.3758728,0.8181723608,1.568,15.821,20.161,222733.333333333
2014Q1,2565967.71,0.58,0.045375,149299.34,0.069,753863.397094727,3387750.95275116,4141614.34984589,0.8179783694,1.512,16.241,20.671,212266.666666667
2014Q2,2570675.33,0.09,0.04815,149703.36,0.068,744783.774452209,3453570.43435059,4198354.2088028,0.8226010152,1.485,16.673,21.077,211533.333333333
2014Q3,2582727.65,0.19,0.00565,150115.09,0.069,739282.328857422,3449780.13210144,4189062.46095886,0.823520815,1.518,16.604,21.01,213166.666666667
2014Q4,2593863.65,0.21,-0.00385,150406.51,0.069,733357.289352417,3499862.99837036,4233220.28772278,0.8267613685,1.52,17.81,22.249,204133.333333333
2015Q1,2613040.74,0.57,-0.011425,150634.68,0.071,742514.223800659,3513454.76668243,4255968.99048309,0.8255358003,1.613,18.894,23.614,211466.666666667
2015Q2,2623494.16,0.42,-0.0249,151158.83,0.073,752823.998321533,3573024.16499176,4325848.16331329,0.8259707762,1.562,18.947,23.432,215733.333333333
2015Q3,2635745.13,0.33,-0.031225,151739.89,0.075,775323.965797424,3573718.87046738,4349042.8362648,0.8217253784,1.62,20.196,24.736,229666.666666667
2015Q4,2646975.5,0.1,-0.039375,152215.05,0.075,777847.434959412,3607729.24551544,4385576.68047485,0.822635085,1.508,19.11,23.625,231566.666666667
2016Q1,2662993.19,0.23,-0.0639,152608.47,0.073,804730.587303162,3676950.28087769,4481680.86818085,0.8204400066,1.459,20.032,24.472,231766.666666667
2016Q2,2670604.81,0.19,-0.084025,153219.63,0.075,816977.754920959,3710827.05524978,4527804.81017074,0.8195642725,1.404,20.04,24.404,228566.666666667
2016Q3,2682465.29,0.22,-0.084225,153686.77,0.075,840175.456970215,3739667.27312927,4579842.73009949,0.8165492777,1.399,21.635,26.066,232433.333333333
2016Q4,2702754.07,0.07,-0.08715,154246.24,0.075,865503.136024475,3752501.58109283,4618004.71711731,0.8125807163,1.5,22.839,27.598,260900
2017Q1,2720748.7,0.19,-0.08815,154943.25,0.078,870952.970367432,3792530.16582489,4663483.13619232,0.8132398156,1.416,22.176,26.857,267466.666666667
