q,CAC40,VOL,R,W,CPI,MUFSMU,N,Y,JCP,JCF,JC,JDP,JDF,JD,V
1960Q1,,,,,,,,106.4537147,,,,,,,
1960Q2,,,,,,,,109.5262395,,,,,,,
1960Q3,,,,,,,,113.4945574,,,,,,,
1960Q4,,,,,,,,114.269859,,,,,,,
1961Q1,,,,,,,,115.6154802,,,,,,,
1961Q2,,,,,,,,115.679857,,,,,,,
1961Q3,,,,,,,,120.3649601,,,,,,,
1961Q4,,,,,,,,120.0282733,,,,,,,
1962Q1,,,,,,,,124.5445704,,,,,,,
1962Q2,,,,,,,,123.9104091,,,,,,,
1962Q3,,,,,,,,128.4294238,,,,,,,
1962Q4,,,,,,,,128.0675994,,,,,,,
1963Q1,,,,,,,,124.5749272,,,,,,,
1963Q2,,,,,,,,133.0184833,,,,,,,
1963Q3,,,,,,,,136.4608562,,,,,,,
1963Q4,,,,,,,,137.5000631,,,,,,,
1964Q1,,,,,,,,141.4620394,,,,,,,
1964Q2,,,,,,,,143.4105523,,,,,,,
1964Q3,,,,,,,,141.9166924,,,,,,,
1964Q4,,,,,,,,142.8259984,,,,,,,
1965Q1,,,,,,,,141.9816428,,,,,,,
1965Q2,,,,,,,,144.3198583,,,,,,,
1965Q3,,,,,,,,145.8137183,,,,,,,
1965Q4,,,,,,,,149.7756946,,,,,,,
1966Q1,,,,,,,,151.9190588,,,,,,,
1966Q2,,,,,,,,153.8026213,,,,,,,
1966Q3,,,,,,,,157.8944985,,,,,,,
1966Q4,,,,,,,,157.0501429,,,,,,,
1967Q1,,,,,,,,155.7511343,,,,,,,
1967Q2,,,,,,,,155.4913325,,,,,,,
1967Q3,,,,,,,,158.7388541,,,,,,,
1967Q4,,,,,,,,159.9079619,,,,,,,
1968Q1,,,,,,,,164.454492,,,,,,,
1968Q2,,,,,,,,140.1630307,,,,,,,
1968Q3,,,,,,,,171.9887421,,,,,,,
1968Q4,,,,,,,,179.3930913,,,,,,,
1969Q1,,,,,,,,178.8734878,,,,,,,
1969Q2,,,,,,,,186.3427874,,,,,,,
1969Q3,,,,,,,,185.4984318,,,,,,,
1969Q4,,,,,,,,187.3170439,,,,,,,
1970Q1,,,,,,,,192.902781,,,,,,,
1970Q2,,,,,,,,193.9419879,,,,,,,
1970Q3,,,,,,,,194.3316904,,,,,,,
1970Q4,,,,,,,,197.7091129,,,,,,,
1971Q1,,,,,,,,200.3071301,,,,,,,
1971Q2,,,,,,,,201.2164362,,,,,,,
1971Q3,,,,,,,,205.8279168,,,,,,,
1971Q4,,,,,,,,211.0239513,,,,,,,
1972Q1,,,,,,,,213.8168198,,,,,,,
1972Q2,,,,,,,,217.7787961,,,,,,,
1972Q3,,,,,,,,222.9748306,,,,,,,
1972Q4,,,,,,,,230.0544277,,,,,,,
1973Q1,,,,,,,,233.561751,,,,,,,
1973Q2,,,,,,,,237.6536281,,,,,,,
1973Q3,,,,,,,,243.2393652,,,,,,,
1973Q4,,,,,,,,240.9011497,,,,,,,
1974Q1,,,,,,,,248.630251,,,,,,,
1974Q2,,,,,,,,248.3704493,,,,,,,
1974Q3,,,,,,,,251.2282683,,,,,,,
1974Q4,,,,,,,,234.016404,,,,,,,
1975Q1,,,,,,,,221.9356238,,,,,,,
1975Q2,,,,,,,,216.999391,,,,,,,
1975Q3,,,,,,,,218.2334492,,,,,,,
1975Q4,,,,,,,,225.3779966,,,,,,,
1976Q1,,,,,,,,235.0556109,,,,,,,
1976Q2,,,,,,,,241.9403566,,,,,,,
1976Q3,,,,,,,,246.9415398,,,,,,,
1976Q4,,,,,,,,248.0456971,,,,,,,
1977Q1,,,,,,,,253.1767812,,,,,,,
1977Q2,,,,,,,,246.5518372,,,,,,,
1977Q3,,,,,,,,245.5775807,,,,,,,
1977Q4,,,,,,,,243.3692661,,,,,,,
1978Q1,,,,,,,,246.8116389,,,,,,,
1978Q2,,,,,,,,252.7221282,,,,,,,
1978Q3,,,,,,,,248.6952014,,,,,,,
1978Q4,,,,,,,,258.1779644,,,,,,,
1979Q1,,,,,,,,257.5934105,,,,,,,
1979Q2,,,,,,,,260.0615269,,,,,,,
1979Q3,,,,,,,,270.5185464,,,,,,,
1979Q4,,,,,,,,264.8029084,,,,,,,
1980Q1,,,,,,,,263.5677244,,,,,,,
1980Q2,,,,,,,,259.0736742,,,,,,,
1980Q3,,,,,,,,255.8279712,,,,,,,
1980Q4,,,,,,,,251.2506978,,,,,,,
1981Q1,,,,,,,,251.916483,,,,,,,
1981Q2,,,,,,,,251.4171441,,,,,,,
1981Q3,,,,,,,,251.333921,,,,,,,
1981Q4,,,,,,,,252.7487146,,,,,,,
1982Q1,,,,,,,,251.9997062,,,,,,,
1982Q2,,,,,,,,253.6641692,,,,,,,
1982Q3,,,,,,,,246.8398707,,,,,,,
1982Q4,,,,,,,,248.6707801,,,,,,,
1983Q1,,,,,,,,248.7540032,,,,,,,
1983Q2,,,,,,,,249.4197885,,,,,,,
1983Q3,,,,,,,,246.1740855,,,,,,,
1983Q4,,,,,,,,248.5043338,,,,,,,
1984Q1,,,,,,,,251.0842515,,,,,,,
1984Q2,,,,,,,,248.5043338,,,,,,,
1984Q3,,,,,,,,249.9191274,,,,,,,
1984Q4,,,,,,,,249.6694579,,,,,,,
1985Q1,,,,,,,,252.2813333,,,,,,,
1985Q2,,,,,,,,253.1310833,,,,,,,
1985Q3,,,,,,,,252.0925,,,,,,,
1985Q4,,,,,,,,255.0194167,,,,,,,
1986Q1,,,,,,,,252.4701667,,,,,,,
1986Q2,,,,,,,,253.6031667,,,,,,,
1986Q3,,,,,,,,254.07525,,,,,,,
1986Q4,,,,,,,,255.6803333,,,,,,,
1987Q1,,,,,,,,251.1483333,,,,,,,
1987Q2,,,,,,,,256.058,,,,,,,
1987Q3,,,,,,,,256.6245,,,,,,,
1987Q4,,,,,,,,261.6285833,,,,,,,
1988Q1,,,,,,,,267.1991667,,,,,,,
1988Q2,,,,,,,,267.7656667,,,,,,,
1988Q3,,,,,,,,268.80425,,,,,,,
1988Q4,,,,,,,,272.4865,,,,,,,
1989Q1,,,,,,,,276.0743333,,,,,,,100400
1989Q2,,,,,,,,279.0956667,,,,,,,107333.3333
1989Q3,,,,,,,,278.1515,,,,,,,97600
1989Q4,,,,,,,,283.8165,,,,,,,97100
1990Q1,1921.727273,1.882110183,,,97.62720479,,,286.56,,,,,,,107966.6667
1990Q2,2066.491525,2.120215836,,,97.89757405,,,285.02,,,,,,,102400
1990Q3,1774.234375,10.47955806,,,98.55330621,,,281.69,,,,,,,98033.33333
1990Q4,1608.83871,2.643954558,,,99.33747727,,,279.73,,,,,,,97733.33333
1991Q1,1656.080645,6.903218958,,,99.78421028,,,282.08,,,,,,,93733.33333
1991Q2,1819.593333,1.657982993,,,100.2847384,,,278.41,,,,,,,92900
1991Q3,1805.484375,3.16886756,,,100.7127628,,,278.09,,,,,,,88333.33333
1991Q4,1784.249206,4.193208439,,,100.9999542,,,278.83,,,,,,,98400
1992Q1,1897.028125,3.162875302,,,101.1109841,,,279.19,,,,,,,98533.33333
1992Q2,1981.154239,2.674056847,,,100.9664822,,,277.19,,,,,,,98133.33333
1992Q3,1781.240625,3.381701589,,,100.3718828,,,272.84,,,,,,,104400
1992Q4,1751.204762,3.419940441,,,100.2075698,,,268.89,,,,,,,98400
1993Q1,1905.914286,4.245450938,,,100.6324451,,,263.92,,,,,,,89733.33333
1993Q2,1923.265,2.4488738,,,100.8697282,,,260.8,,,,,,,93933.33333
1993Q3,2082.043747,3.834234448,,,100.5655347,,,261.76,,,,,,,103133.3333
1993Q4,2165.542177,2.477296067,,,100.3116688,,,259.88,,,,,,,112200
1994Q1,2242.071878,2.719054778,1.6875,,100.2505529,,,264.07,,,,,,,122733.3333
1994Q2,2075.309836,4.528683305,1.5325,,100.2221329,,,270.74,,,,,,,130866.6667
1994Q3,1993.873017,3.569717983,1.5175,,99.84159049,,,275.65,,,,,,,137100
1994Q4,1916.927419,2.095761461,1.445,,99.61319814,,,281.62,,,,,,,143866.6667
1995Q1,1822.428125,2.286720401,1.526675,,99.73023918,,130659.77,282.69,,,,,,,161133.3333
1995Q2,1926.337288,2.270903246,1.614175,,99.85346979,,130896.76,282.25,,,,,,,166900
1995Q3,1908.362903,2.659088375,1.496675,,99.99478689,,131036.07,283.47,,,,,,,169633.3333
1995Q4,1826.796825,2.433273383,1.45,,100.486413,,131346.21,281.03,,,,,,,177466.6667
1996Q1,1967.201563,1.722170163,1.253325,61.14470905,101.2552361,,131370.11,281.28,,,,,,,178033.3333
1996Q2,2107.337283,1.012333006,1.180825,61.69618331,101.6971648,,131688.98,283.6,,,,,,,190266.6667
1996Q3,2029.4,2.482452267,1.0825,62.17872329,101.2748818,,132020.07,283.47,,,,,,,190866.6667
1996Q4,2215.753983,2.77096178,1.063325,62.66126327,101.1112694,,132199.37,284.98,,,,,,,196200
1997Q1,2532.524597,4.656522765,1.065825,63.07486897,101.3000117,,132502.57,287.63,,,,,,,196233.3333
